    0.1507330463E-03   -0.1922832774E+06    0.2672392744E+02
    0.1584612949E-03   -0.1829001292E+06    0.2672392076E+02
    0.1665857792E-03   -0.1739746023E+06    0.2672390704E+02
    0.1751268148E-03   -0.1654843761E+06    0.2672388587E+02
    0.1841057586E-03   -0.1574082227E+06    0.2672385679E+02
    0.1935450626E-03   -0.1497259456E+06    0.2672381927E+02
    0.2034683302E-03   -0.1424183369E+06    0.2672377272E+02
    0.2139003746E-03   -0.1354671223E+06    0.2672371646E+02
    0.2248672813E-03   -0.1288549217E+06    0.2672364975E+02
    0.2363964733E-03   -0.1225651998E+06    0.2672357176E+02
    0.2485167797E-03   -0.1165822301E+06    0.2672348154E+02
    0.2612585075E-03   -0.1108910514E+06    0.2672337808E+02
    0.2746535176E-03   -0.1054774336E+06    0.2672326020E+02
    0.2887353046E-03   -0.1003278391E+06    0.2672312664E+02
    0.3035390802E-03   -0.9542939175E+05    0.2672297598E+02
    0.3191018616E-03   -0.9076984272E+05    0.2672280665E+02
    0.3354625639E-03   -0.8633754106E+05    0.2672261691E+02
    0.3526620974E-03   -0.8212140339E+05    0.2672240485E+02
    0.3707434697E-03   -0.7811088753E+05    0.2672216836E+02
    0.3897518939E-03   -0.7429596493E+05    0.2672190508E+02
    0.4097349008E-03   -0.7066709656E+05    0.2672161244E+02
    0.4307424584E-03   -0.6721520822E+05    0.2672128759E+02
    0.4528270965E-03   -0.6393166859E+05    0.2672092740E+02
    0.4760440382E-03   -0.6080826708E+05    0.2672052840E+02
    0.5004513380E-03   -0.5783719369E+05    0.2672008679E+02
    0.5261100268E-03   -0.5501101920E+05    0.2671959835E+02
    0.5530842647E-03   -0.5232267675E+05    0.2671905848E+02
    0.5814415013E-03   -0.4976544420E+05    0.2671846208E+02
    0.6112526445E-03   -0.4733292714E+05    0.2671780356E+02
    0.6425922378E-03   -0.4501904314E+05    0.2671707674E+02
    0.6755386463E-03   -0.4281800624E+05    0.2671627486E+02
    0.7101742534E-03   -0.4072431292E+05    0.2671539046E+02
    0.7465856660E-03   -0.3873272777E+05    0.2671441535E+02
    0.7848639316E-03   -0.3683827100E+05    0.2671334051E+02
    0.8251047659E-03   -0.3503620537E+05    0.2671215606E+02
    0.8674087919E-03   -0.3332202508E+05    0.2671085111E+02
    0.9118817916E-03   -0.3169144364E+05    0.2670941373E+02
    0.9586349708E-03   -0.3014038401E+05    0.2670783080E+02
    0.1007785237E-02   -0.2866496761E+05    0.2670608792E+02
    0.1059455491E-02   -0.2726150545E+05    0.2670416927E+02
    0.1113774935E-02   -0.2592648799E+05    0.2670205754E+02
    0.1170879397E-02   -0.2465657731E+05    0.2669973368E+02
    0.1230911668E-02   -0.2344859780E+05    0.2669717685E+02
    0.1294021859E-02   -0.2229952925E+05    0.2669436417E+02
    0.1360367778E-02   -0.2120649824E+05    0.2669127059E+02
    0.1430115326E-02   -0.2016677198E+05    0.2668786865E+02
    0.1503438906E-02   -0.1917775042E+05    0.2668412827E+02
    0.1580521867E-02   -0.1823696094E+05    0.2668001654E+02
    0.1661556956E-02   -0.1734205086E+05    0.2667549745E+02
    0.1746746803E-02   -0.1649078287E+05    0.2667053157E+02
    0.1836304427E-02   -0.1568102821E+05    0.2666507582E+02
    0.1930453768E-02   -0.1491076248E+05    0.2665908312E+02
    0.2029430249E-02   -0.1417805948E+05    0.2665250201E+02
    0.2133481363E-02   -0.1348108753E+05    0.2664527633E+02
    0.2242867292E-02   -0.1281810369E+05    0.2663734477E+02
    0.2357861557E-02   -0.1218745062E+05    0.2662864049E+02
    0.2478751704E-02   -0.1158755129E+05    0.2661909061E+02
    0.2605840021E-02   -0.1101690608E+05    0.2660861572E+02
    0.2739444296E-02   -0.1047408803E+05    0.2659712942E+02
    0.2879898609E-02   -0.9957740315E+04    0.2658453765E+02
    0.3027554168E-02   -0.9466571754E+04    0.2657073822E+02
    0.3182780189E-02   -0.8999354708E+04    0.2655562007E+02
    0.3345964819E-02   -0.8554920874E+04    0.2653906269E+02
    0.3517516104E-02   -0.8132159517E+04    0.2652093537E+02
    0.3697863011E-02   -0.7730013537E+04    0.2650109649E+02
    0.3887456502E-02   -0.7347477971E+04    0.2647939277E+02
    0.4086770659E-02   -0.6983596350E+04    0.2645565844E+02
    0.4296303871E-02   -0.6637459438E+04    0.2642971446E+02
    0.4516580081E-02   -0.6308201837E+04    0.2640136764E+02
    0.4748150094E-02   -0.5995000929E+04    0.2637040981E+02
    0.4991592955E-02   -0.5697073727E+04    0.2633661692E+02
    0.5247517398E-02   -0.5413676016E+04    0.2629974817E+02
    0.5516563369E-02   -0.5144099396E+04    0.2625954514E+02
    0.5799403621E-02   -0.4887670593E+04    0.2621573091E+02
    0.6096745403E-02   -0.4643748711E+04    0.2616800928E+02
    0.6409332224E-02   -0.4411724692E+04    0.2611606389E+02
    0.6737945714E-02   -0.4191018737E+04    0.2605955759E+02
    0.7083407578E-02   -0.3981079901E+04    0.2599813171E+02
    0.7446581651E-02   -0.3781383679E+04    0.2593140555E+02
    0.7828376056E-02   -0.3591431735E+04    0.2585897596E+02
    0.8229745479E-02   -0.3410749613E+04    0.2578041706E+02
    0.8651693553E-02   -0.3238886583E+04    0.2569528014E+02
    0.9095275367E-02   -0.3075413491E+04    0.2560309384E+02
    0.9561600107E-02   -0.2919922700E+04    0.2550336450E+02
    0.1005183383E-01   -0.2772026057E+04    0.2539557688E+02
    0.1056720237E-01   -0.2631354924E+04    0.2527919514E+02
    0.1110899442E-01   -0.2497558250E+04    0.2515366430E+02
    0.1167856474E-01   -0.2370302692E+04    0.2501841202E+02
    0.1227733756E-01   -0.2249270772E+04    0.2487285094E+02
    0.1290681012E-01   -0.2134161075E+04    0.2471638148E+02
    0.1356855642E-01   -0.2024686493E+04    0.2454839522E+02
    0.1426423119E-01   -0.1920574495E+04    0.2436827890E+02
    0.1499557396E-01   -0.1821565430E+04    0.2417541906E+02
    0.1576441348E-01   -0.1727412874E+04    0.2396920731E+02
    0.1657267224E-01   -0.1637881996E+04    0.2374904635E+02
    0.1742237132E-01   -0.1552749965E+04    0.2351435669E+02
    0.1831563540E-01   -0.1471804358E+04    0.2326458401E+02
    0.1925469810E-01   -0.1394843646E+04    0.2299920733E+02
    0.2024190758E-01   -0.1321675626E+04    0.2271774769E+02
    0.2127973238E-01   -0.1252117985E+04    0.2241977752E+02
    0.2237076759E-01   -0.1185996753E+04    0.2210493049E+02
    0.2351774137E-01   -0.1123146931E+04    0.2177291171E+02
    0.2472352175E-01   -0.1063410973E+04    0.2142350825E+02
    0.2599112382E-01   -0.1006639482E+04    0.2105659966E+02
    0.2732371724E-01   -0.9526896896E+03    0.2067216844E+02
    0.2872463418E-01   -0.9014262492E+03    0.2027031008E+02
    0.3019737766E-01   -0.8527196989E+03    0.1985124247E+02
    0.3174563032E-01   -0.8064473539E+03    0.1941531446E+02
    0.3337326359E-01   -0.7624917441E+03    0.1896301309E+02
    0.3508434741E-01   -0.7207416190E+03    0.1849496927E+02
    0.3688316037E-01   -0.6810903466E+03    0.1801196167E+02
    0.3877420044E-01   -0.6434370450E+03    0.1751491825E+02
    0.4076219620E-01   -0.6076849244E+03    0.1700491538E+02
    0.4285211869E-01   -0.5737425624E+03    0.1648317412E+02
    0.4504919380E-01   -0.5415221664E+03    0.1595105358E+02
    0.4735891536E-01   -0.5109410089E+03    0.1541004105E+02
    0.4978705887E-01   -0.4819195779E+03    0.1486173915E+02
    0.5233969597E-01   -0.4543831859E+03    0.1430784951E+02
    0.5502320956E-01   -0.4282599667E+03    0.1375015394E+02
    0.5784430984E-01   -0.4034826590E+03    0.1319049245E+02
    0.6081005103E-01   -0.3799864024E+03    0.1263073949E+02
    0.6392784901E-01   -0.3577106910E+03    0.1207277796E+02
    0.6720549992E-01   -0.3365969205E+03    0.1151847272E+02
    0.7065119958E-01   -0.3165905089E+03    0.1096964319E+02
    0.7427356405E-01   -0.2976381948E+03    0.1042803705E+02
    0.7808165111E-01   -0.2796903556E+03    0.9895304671E+01
    0.8208498297E-01   -0.2626981277E+03    0.9372976452E+01
    0.8629357004E-01   -0.2466159830E+03    0.8862442296E+01
    0.9071793599E-01   -0.2313988097E+03    0.8364935772E+01
    0.9536914403E-01   -0.2170047696E+03    0.7881521438E+01
    0.1002588246E+00   -0.2033924010E+03    0.7413088008E+01
    0.1053992045E+00   -0.1905236455E+03    0.6960345051E+01
    0.1108031372E+00   -0.1783609406E+03    0.6523825881E+01
    0.1164841356E+00   -0.1668702253E+03    0.6103893503E+01
    0.1224564049E+00   -0.1560179473E+03    0.5700752219E+01
    0.1287348790E+00   -0.1457739256E+03    0.5314461031E+01
