natx =      369
    x       y        z       iph  
     -3.61838      5.42757      1.80919   1      6.76937
      3.61838     -5.42757     -1.80919   1      6.76937
     -5.42757      1.80919      3.61838   1      6.76937
      5.42757     -1.80919     -3.61838   1      6.76937
     -7.23676      0.00000      0.00000   1      7.23676
      0.00000     -7.23676      0.00000   1      7.23676
      0.00000      0.00000     -7.23676   1      7.23676
      0.00000      0.00000      7.23676   1      7.23676
      0.00000      7.23676      0.00000   1      7.23676
      7.23676      0.00000      0.00000   1      7.23676
     -7.23676     -1.80919     -1.80919   1      7.67574
     -1.80919     -7.23676     -1.80919   1      7.67574
     -1.80919     -1.80919     -7.23676   1      7.67574
     -7.23676     -1.80919      1.80919   1      7.67574
     -5.42757     -5.42757      0.00000   1      7.67574
     -1.80919     -7.23676      1.80919   1      7.67574
     -1.80919     -1.80919      7.23676   1      7.67574
     -7.23676      1.80919     -1.80919   1      7.67574
     -5.42757      0.00000     -5.42757   1      7.67574
     -1.80919      1.80919     -7.23676   1      7.67574
     -1.80919      7.23676     -1.80919   1      7.67574
     -5.42757      0.00000      5.42757   1      7.67574
     -7.23676      1.80919      1.80919   1      7.67574
     -1.80919      1.80919      7.23676   1      7.67574
     -5.42757      5.42757      0.00000   1      7.67574
     -1.80919      7.23676      1.80919   1      7.67574
      1.80919     -7.23676     -1.80919   1      7.67574
      0.00000     -5.42757     -5.42757   1      7.67574
      1.80919     -1.80919     -7.23676   1      7.67574
      7.23676     -1.80919     -1.80919   1      7.67574
      0.00000     -5.42757      5.42757   1      7.67574
      1.80919     -7.23676      1.80919   1      7.67574
      1.80919     -1.80919      7.23676   1      7.67574
      5.42757     -5.42757      0.00000   1      7.67574
      7.23676     -1.80919      1.80919   1      7.67574
      0.00000      5.42757     -5.42757   1      7.67574
      1.80919      1.80919     -7.23676   1      7.67574
      1.80919      7.23676     -1.80919   1      7.67574
      5.42757      0.00000     -5.42757   1      7.67574
      7.23676      1.80919     -1.80919   1      7.67574
      1.80919      1.80919      7.23676   1      7.67574
     -0.00000      5.42757      5.42757   1      7.67574
      5.42757      0.00000      5.42757   1      7.67574
      1.80919      7.23676      1.80919   1      7.67574
      7.23676      1.80919      1.80919   1      7.67574
      5.42757      5.42757      0.00000   1      7.67574
     -7.23676     -3.61838      0.00000   1      8.09094
     -3.61838     -7.23676      0.00000   1      8.09094
     -7.23676      0.00000     -3.61838   1      8.09094
     -3.61838      0.00000     -7.23676   1      8.09094
     -7.23676      0.00000      3.61838   1      8.09094
     -3.61838      0.00000      7.23676   1      8.09094
     -7.23676      3.61838      0.00000   1      8.09094
     -3.61838      7.23676      0.00000   1      8.09094
      0.00000     -7.23676     -3.61838   1      8.09094
      0.00000     -3.61838     -7.23676   1      8.09094
      0.00000     -7.23676      3.61838   1      8.09094
      0.00000     -3.61838      7.23676   1      8.09094
      3.61838     -7.23676      0.00000   1      8.09094
      7.23676     -3.61838      0.00000   1      8.09094
      0.00000      3.61838     -7.23676   1      8.09094
      0.00000      7.23676     -3.61838   1      8.09094
      3.61838      0.00000     -7.23676   1      8.09094
      7.23676      0.00000     -3.61838   1      8.09094
     -0.00000      3.61838      7.23676   1      8.09094
      3.61838      0.00000      7.23676   1      8.09094
     -0.00000      7.23676      3.61838   1      8.09094
      7.23676      0.00000      3.61838   1      8.09094
      3.61838      7.23676      0.00000   1      8.09094
      7.23676      3.61838      0.00000   1      8.09094
     -5.42757     -5.42757     -3.61838   1      8.48585
     -5.42757     -3.61838     -5.42757   1      8.48585
     -3.61838     -5.42757     -5.42757   1      8.48585
     -5.42757     -5.42757      3.61838   1      8.48585
     -5.42757     -3.61838      5.42757   1      8.48585
     -3.61838     -5.42757      5.42757   1      8.48585
     -5.42757      3.61838     -5.42757   1      8.48585
     -5.42757      5.42757     -3.61838   1      8.48585
     -3.61838      5.42757     -5.42757   1      8.48585
     -5.42757      3.61838      5.42757   1      8.48585
     -5.42757      5.42757      3.61838   1      8.48585
     -3.61838      5.42757      5.42757   1      8.48585
      3.61838     -5.42757     -5.42757   1      8.48585
      5.42757     -5.42757     -3.61838   1      8.48585
      5.42757     -3.61838     -5.42757   1      8.48585
      3.61838     -5.42757      5.42757   1      8.48585
      5.42757     -5.42757      3.61838   1      8.48585
      5.42757     -3.61838      5.42757   1      8.48585
      3.61838      5.42757     -5.42757   1      8.48585
      5.42757      3.61838     -5.42757   1      8.48585
      5.42757      5.42757     -3.61838   1      8.48585
      3.61838      5.42757      5.42757   1      8.48585
      5.42757      3.61838      5.42757   1      8.48585
      5.42757      5.42757      3.61838   1      8.48585
     -7.23676     -3.61838     -3.61838   1      8.86318
     -3.61838     -7.23676     -3.61838   1      8.86318
     -3.61838     -3.61838     -7.23676   1      8.86318
     -7.23676     -3.61838      3.61838   1      8.86318
     -3.61838     -7.23676      3.61838   1      8.86318
     -3.61838     -3.61838      7.23676   1      8.86318
     -7.23676      3.61838     -3.61838   1      8.86318
     -3.61838      3.61838     -7.23676   1      8.86318
     -3.61838      7.23676     -3.61838   1      8.86318
     -7.23676      3.61838      3.61838   1      8.86318
     -3.61838      3.61838      7.23676   1      8.86318
     -3.61838      7.23676      3.61838   1      8.86318
      3.61838     -7.23676     -3.61838   1      8.86318
      3.61838     -3.61838     -7.23676   1      8.86318
      7.23676     -3.61838     -3.61838   1      8.86318
      3.61838     -7.23676      3.61838   1      8.86318
      3.61838     -3.61838      7.23676   1      8.86318
      7.23676     -3.61838      3.61838   1      8.86318
      3.61838      3.61838     -7.23676   1      8.86318
      3.61838      7.23676     -3.61838   1      8.86318
      7.23676      3.61838     -3.61838   1      8.86318
      3.61838      3.61838      7.23676   1      8.86318
      3.61838      7.23676      3.61838   1      8.86318
      7.23676      3.61838      3.61838   1      8.86318
     -7.23676     -5.42757     -1.80919   1      9.22510
     -5.42757     -7.23676     -1.80919   1      9.22510
     -7.23676     -1.80919     -5.42757   1      9.22510
     -1.80919     -7.23676     -5.42757   1      9.22510
     -5.42757     -1.80919     -7.23676   1      9.22510
     -1.80919     -5.42757     -7.23676   1      9.22510
     -7.23676     -5.42757      1.80919   1      9.22510
     -7.23676     -1.80919      5.42757   1      9.22510
     -5.42757     -7.23676      1.80919   1      9.22510
     -5.42757     -1.80919      7.23676   1      9.22510
     -1.80919     -7.23676      5.42757   1      9.22510
     -1.80919     -5.42757      7.23676   1      9.22510
     -9.04595     -1.80919      0.00000   1      9.22510
     -1.80919     -9.04595      0.00000   1      9.22510
     -9.04595      0.00000     -1.80919   1      9.22510
     -7.23676      1.80919     -5.42757   1      9.22510
     -7.23676      5.42757     -1.80919   1      9.22510
     -5.42757      1.80919     -7.23676   1      9.22510
     -5.42757      7.23676     -1.80919   1      9.22510
     -1.80919      0.00000     -9.04595   1      9.22510
     -1.80919      5.42757     -7.23676   1      9.22510
     -1.80919      7.23676     -5.42757   1      9.22510
     -9.04595      0.00000      1.80919   1      9.22510
     -7.23676      1.80919      5.42757   1      9.22510
     -5.42757      1.80919      7.23676   1      9.22510
     -1.80919      0.00000      9.04595   1      9.22510
     -9.04595      1.80919      0.00000   1      9.22510
     -7.23676      5.42757      1.80919   1      9.22510
     -1.80919      5.42757      7.23676   1      9.22510
     -5.42757      7.23676      1.80919   1      9.22510
     -1.80919      7.23676      5.42757   1      9.22510
     -1.80919      9.04595      0.00000   1      9.22510
      0.00000     -9.04595     -1.80919   1      9.22510
      1.80919     -7.23676     -5.42757   1      9.22510
      5.42757     -7.23676     -1.80919   1      9.22510
      1.80919     -5.42757     -7.23676   1      9.22510
      7.23676     -5.42757     -1.80919   1      9.22510
      0.00000     -1.80919     -9.04595   1      9.22510
      5.42757     -1.80919     -7.23676   1      9.22510
      7.23676     -1.80919     -5.42757   1      9.22510
      0.00000     -9.04595      1.80919   1      9.22510
      0.00000     -1.80919      9.04595   1      9.22510
      1.80919     -7.23676      5.42757   1      9.22510
      1.80919     -5.42757      7.23676   1      9.22510
      1.80919     -9.04595      0.00000   1      9.22510
      5.42757     -7.23676      1.80919   1      9.22510
      5.42757     -1.80919      7.23676   1      9.22510
      7.23676     -5.42757      1.80919   1      9.22510
      7.23676     -1.80919      5.42757   1      9.22510
      9.04595     -1.80919      0.00000   1      9.22510
      0.00000      1.80919     -9.04595   1      9.22510
      0.00000      9.04595     -1.80919   1      9.22510
      1.80919      0.00000     -9.04595   1      9.22510
      9.04595      0.00000     -1.80919   1      9.22510
      1.80919      5.42757     -7.23676   1      9.22510
      1.80919      7.23676     -5.42757   1      9.22510
      5.42757      1.80919     -7.23676   1      9.22510
      5.42757      7.23676     -1.80919   1      9.22510
      7.23676      1.80919     -5.42757   1      9.22510
      7.23676      5.42757     -1.80919   1      9.22510
     -0.00000      1.80919      9.04595   1      9.22510
      1.80919      0.00000      9.04595   1      9.22510
      1.80919      5.42757      7.23676   1      9.22510
      5.42757      1.80919      7.23676   1      9.22510
      1.80919      7.23676      5.42757   1      9.22510
      7.23676      1.80919      5.42757   1      9.22510
     -0.00000      9.04595      1.80919   1      9.22510
      9.04595      0.00000      1.80919   1      9.22510
      1.80919      9.04595      0.00000   1      9.22510
      5.42757      7.23676      1.80919   1      9.22510
      7.23676      5.42757      1.80919   1      9.22510
      9.04595      1.80919      0.00000   1      9.22510
     -9.04595     -3.61838     -1.80919   1      9.90934
     -3.61838     -9.04595     -1.80919   1      9.90934
     -9.04595     -1.80919     -3.61838   1      9.90934
     -1.80919     -9.04595     -3.61838   1      9.90934
     -9.04595     -3.61838      1.80919   1      9.90934
     -9.04595     -1.80919      3.61838   1      9.90934
     -3.61838     -9.04595      1.80919   1      9.90934
     -1.80919     -9.04595      3.61838   1      9.90934
     -9.04595      1.80919     -3.61838   1      9.90934
     -9.04595      3.61838     -1.80919   1      9.90934
     -1.80919      9.04595     -3.61838   1      9.90934
     -9.04595      1.80919      3.61838   1      9.90934
     -9.04595      3.61838      1.80919   1      9.90934
     -1.80919      9.04595      3.61838   1      9.90934
      1.80919     -9.04595     -3.61838   1      9.90934
      9.04595     -3.61838     -1.80919   1      9.90934
      9.04595     -1.80919     -3.61838   1      9.90934
      1.80919     -9.04595      3.61838   1      9.90934
      9.04595     -3.61838      1.80919   1      9.90934
      9.04595     -1.80919      3.61838   1      9.90934
      1.80919      9.04595     -3.61838   1      9.90934
      3.61838      9.04595     -1.80919   1      9.90934
      9.04595      1.80919     -3.61838   1      9.90934
      9.04595      3.61838     -1.80919   1      9.90934
      1.80919      9.04595      3.61838   1      9.90934
      9.04595      1.80919      3.61838   1      9.90934
      3.61838      9.04595      1.80919   1      9.90934
      9.04595      3.61838      1.80919   1      9.90934
     -3.61838     -1.80919     -9.04595   1      9.90934
     -1.80919     -3.61838     -9.04595   1      9.90934
     -3.61838     -1.80919      9.04595   1      9.90934
     -1.80919     -3.61838      9.04595   1      9.90934
     -3.61838      1.80919     -9.04595   1      9.90934
     -3.61838      9.04595     -1.80919   1      9.90934
     -1.80919      3.61838     -9.04595   1      9.90934
     -3.61838      1.80919      9.04595   1      9.90934
     -1.80919      3.61838      9.04595   1      9.90934
     -3.61838      9.04595      1.80919   1      9.90934
      3.61838     -9.04595     -1.80919   1      9.90934
      1.80919     -3.61838     -9.04595   1      9.90934
      3.61838     -1.80919     -9.04595   1      9.90934
      1.80919     -3.61838      9.04595   1      9.90934
      3.61838     -9.04595      1.80919   1      9.90934
      3.61838     -1.80919      9.04595   1      9.90934
      1.80919      3.61838     -9.04595   1      9.90934
      3.61838      1.80919     -9.04595   1      9.90934
      1.80919      3.61838      9.04595   1      9.90934
      3.61838      1.80919      9.04595   1      9.90934
