# # comment:                                                     FEFF 9.6.4  
# # Source:
# # Structure
# # Reduced
# # space
# # abc:
# # angles:
# # sites:
# # POT  SCF 100  7.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.365 Rnm= 1.402 K  shell
# # Pot 1 Z=29 Rmt= 1.365 Rnm= 1.402
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.865E+00eV kf=1.989E+00 Vint=-1.649E+01eV Rs_int= 1.824
# FMS rfms= 9.0000
# # PATH  Rmax=-1.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#     0/   0 paths used
#  xsedge+ 50, used to normalize mu           2.4541E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9003.662      7.375   2.000  1.07078E+00  9.72997E-01  9.77813E-02
    9004.278      7.990   2.040  1.03638E+00  9.75471E-01  6.09047E-02
    9004.906      8.618   2.080  1.01164E+00  9.77628E-01  3.40163E-02
    9005.546      9.258   2.120  1.00131E+00  9.79519E-01  2.17912E-02
    9006.198      9.911   2.160  1.01122E+00  9.81177E-01  3.00433E-02
    9006.862     10.575   2.200  1.04294E+00  9.82591E-01  6.03512E-02
    9007.539     11.252   2.240  1.08468E+00  9.83772E-01  1.00904E-01
    9008.228     11.941   2.280  1.11251E+00  9.84791E-01  1.27721E-01
    9008.929     12.642   2.320  1.11441E+00  9.85617E-01  1.28794E-01
    9009.642     13.355   2.360  1.10428E+00  9.86303E-01  1.17979E-01
    9010.368     14.080   2.400  1.09184E+00  9.86856E-01  1.04984E-01
    9011.105     14.818   2.440  1.07267E+00  9.87285E-01  8.53848E-02
    9011.855     15.568   2.480  1.04653E+00  9.87596E-01  5.89371E-02
    9012.617     16.330   2.520  1.01400E+00  9.87841E-01  2.61552E-02
    9013.391     17.104   2.560  9.80372E-01  9.88006E-01 -7.63477E-03
    9014.178     17.890   2.600  9.50522E-01  9.88096E-01 -3.75745E-02
    9014.976     18.689   2.640  9.27758E-01  9.88159E-01 -6.04007E-02
    9015.787     19.500   2.680  9.13908E-01  9.88160E-01 -7.42519E-02
    9016.610     20.323   2.720  9.08442E-01  9.88146E-01 -7.97042E-02
    9017.445     21.158   2.760  9.10124E-01  9.88120E-01 -7.79962E-02
    9018.292     22.005   2.800  9.16142E-01  9.88067E-01 -7.19253E-02
    9019.152     22.865   2.840  9.24541E-01  9.88034E-01 -6.34932E-02
    9020.024     23.736   2.880  9.33934E-01  9.88002E-01 -5.40679E-02
    9020.908     24.620   2.920  9.43644E-01  9.87974E-01 -4.43299E-02
    9021.804     25.516   2.960  9.53580E-01  9.87976E-01 -3.43964E-02
    9022.712     26.425   3.000  9.64099E-01  9.88009E-01 -2.39106E-02
    9023.632     27.345   3.040  9.75479E-01  9.88053E-01 -1.25737E-02
    9024.565     28.278   3.080  9.87667E-01  9.88131E-01 -4.63969E-04
    9025.510     29.223   3.120  1.00059E+00  9.88246E-01  1.23469E-02
