nat, nph =   369    1
    1    2
 iat     x       y        z       iph  
 -----------------------------------------------------------------------
   1      0.00000      0.00000      0.00000   0   1
   2     -1.80919     -1.80919      0.00000   1   1
   3     -1.80919      0.00000     -1.80919   1   1
   4     -1.80919      0.00000      1.80919   1   1
   5     -1.80919      1.80919      0.00000   1   1
   6      0.00000     -1.80919     -1.80919   1   1
   7      0.00000     -1.80919      1.80919   1   1
   8      1.80919     -1.80919      0.00000   1   1
   9      0.00000      1.80919     -1.80919   1   1
  10      1.80919      0.00000     -1.80919   1   1
  11     -0.00000      1.80919      1.80919   1   1
  12      1.80919      0.00000      1.80919   1   1
  13      1.80919      1.80919      0.00000   1   1
  14     -3.61838      0.00000      0.00000   1   1
  15      0.00000     -3.61838      0.00000   1   1
  16      0.00000      0.00000     -3.61838   1   1
  17      0.00000      0.00000      3.61838   1   1
  18      0.00000      3.61838      0.00000   1   1
  19      3.61838      0.00000      0.00000   1   1
  20     -3.61838     -1.80919     -1.80919   1   1
  21     -1.80919     -3.61838     -1.80919   1   1
  22     -1.80919     -1.80919     -3.61838   1   1
  23     -3.61838     -1.80919      1.80919   1   1
  24     -1.80919     -3.61838      1.80919   1   1
  25     -1.80919     -1.80919      3.61838   1   1
  26     -3.61838      1.80919     -1.80919   1   1
  27     -1.80919      1.80919     -3.61838   1   1
  28     -1.80919      3.61838     -1.80919   1   1
  29     -3.61838      1.80919      1.80919   1   1
  30     -1.80919      1.80919      3.61838   1   1
  31     -1.80919      3.61838      1.80919   1   1
  32      1.80919     -3.61838     -1.80919   1   1
  33      1.80919     -1.80919     -3.61838   1   1
  34      3.61838     -1.80919     -1.80919   1   1
  35      1.80919     -3.61838      1.80919   1   1
  36      1.80919     -1.80919      3.61838   1   1
  37      3.61838     -1.80919      1.80919   1   1
  38      1.80919      1.80919     -3.61838   1   1
  39      1.80919      3.61838     -1.80919   1   1
  40      3.61838      1.80919     -1.80919   1   1
  41      1.80919      1.80919      3.61838   1   1
  42      1.80919      3.61838      1.80919   1   1
  43      3.61838      1.80919      1.80919   1   1
  44     -3.61838     -3.61838      0.00000   1   1
  45     -3.61838      0.00000     -3.61838   1   1
  46     -3.61838      0.00000      3.61838   1   1
  47     -3.61838      3.61838      0.00000   1   1
  48      0.00000     -3.61838     -3.61838   1   1
  49      0.00000     -3.61838      3.61838   1   1
  50      3.61838     -3.61838      0.00000   1   1
  51      0.00000      3.61838     -3.61838   1   1
  52      3.61838      0.00000     -3.61838   1   1
  53     -0.00000      3.61838      3.61838   1   1
  54      3.61838      0.00000      3.61838   1   1
  55      3.61838      3.61838      0.00000   1   1
  56     -5.42757     -1.80919      0.00000   1   1
  57     -1.80919     -5.42757      0.00000   1   1
  58     -5.42757      0.00000     -1.80919   1   1
  59     -1.80919      0.00000     -5.42757   1   1
  60     -5.42757      0.00000      1.80919   1   1
  61     -1.80919      0.00000      5.42757   1   1
  62     -5.42757      1.80919      0.00000   1   1
  63     -1.80919      5.42757      0.00000   1   1
  64      0.00000     -5.42757     -1.80919   1   1
  65      0.00000     -1.80919     -5.42757   1   1
  66      0.00000     -5.42757      1.80919   1   1
  67      0.00000     -1.80919      5.42757   1   1
  68      1.80919     -5.42757      0.00000   1   1
  69      5.42757     -1.80919      0.00000   1   1
  70      0.00000      1.80919     -5.42757   1   1
  71      0.00000      5.42757     -1.80919   1   1
  72      1.80919      0.00000     -5.42757   1   1
  73      5.42757      0.00000     -1.80919   1   1
  74     -0.00000      1.80919      5.42757   1   1
  75      1.80919      0.00000      5.42757   1   1
  76     -0.00000      5.42757      1.80919   1   1
  77      5.42757      0.00000      1.80919   1   1
  78      1.80919      5.42757      0.00000   1   1
  79      5.42757      1.80919      0.00000   1   1
  80     -3.61838     -3.61838     -3.61838   1   1
  81     -3.61838     -3.61838      3.61838   1   1
  82     -3.61838      3.61838     -3.61838   1   1
  83     -3.61838      3.61838      3.61838   1   1
  84      3.61838     -3.61838     -3.61838   1   1
  85      3.61838     -3.61838      3.61838   1   1
  86      3.61838      3.61838     -3.61838   1   1
  87      3.61838      3.61838      3.61838   1   1
  88     -5.42757     -3.61838     -1.80919   1   1
  89     -3.61838     -5.42757     -1.80919   1   1
  90     -5.42757     -1.80919     -3.61838   1   1
  91     -1.80919     -5.42757     -3.61838   1   1
  92     -3.61838     -1.80919     -5.42757   1   1
  93     -1.80919     -3.61838     -5.42757   1   1
  94     -5.42757     -3.61838      1.80919   1   1
  95     -5.42757     -1.80919      3.61838   1   1
  96     -3.61838     -5.42757      1.80919   1   1
  97     -3.61838     -1.80919      5.42757   1   1
  98     -1.80919     -5.42757      3.61838   1   1
  99     -1.80919     -3.61838      5.42757   1   1
 100     -5.42757      1.80919     -3.61838   1   1
 101     -5.42757      3.61838     -1.80919   1   1
 102     -3.61838      1.80919     -5.42757   1   1
 103     -3.61838      5.42757     -1.80919   1   1
 104     -1.80919      3.61838     -5.42757   1   1
 105     -1.80919      5.42757     -3.61838   1   1
 106     -3.61838      1.80919      5.42757   1   1
