    -0.378652     0.031773    -0.660935    -0.079829
    -0.361626     0.031773    -0.523676    -0.215325
    -0.346393     0.031773    -0.397786    -0.260349
    -0.332951     0.031773    -0.313005    -0.261605
    -0.321302     0.031773    -0.261243    -0.252798
    -0.311445     0.031773    -0.227914    -0.244464
    -0.303380     0.031773    -0.205166    -0.237476
    -0.297108     0.031773    -0.189755    -0.231656
    -0.296393     0.031773    -0.188124    -0.230964
    -0.292718     0.031773    -0.180150    -0.227308
    -0.289043     0.031773    -0.172896    -0.223499
    -0.285368     0.031773    -0.166622    -0.219711
    -0.281693     0.031773    -0.161083    -0.215867
    -0.278018     0.031773    -0.156299    -0.212018
    -0.274343     0.031773    -0.152288    -0.208236
    -0.270897     0.031773    -0.149231    -0.204830
    -0.266641     0.031773    -0.146380    -0.200926
    -0.261936     0.031773    -0.144365    -0.197163
    -0.256784     0.031773    -0.143406    -0.193924
    -0.251183     0.031773    -0.143632    -0.191691
    -0.245134     0.031773    -0.145040    -0.191039
    -0.238638     0.031773    -0.147451    -0.192617
    -0.231693     0.031773    -0.150459    -0.197112
    -0.224300     0.031773    -0.153352    -0.205204
    -0.216460     0.031773    -0.155034    -0.217438
    -0.208171     0.031773    -0.154000    -0.233998
    -0.199434     0.031773    -0.148466    -0.254441
    -0.190249     0.031773    -0.136691    -0.277504
    -0.180616     0.031773    -0.117403    -0.301108
    -0.170535     0.031773    -0.090188    -0.322620
    -0.160006     0.031773    -0.055696    -0.339263
    -0.149029     0.031773    -0.015655    -0.348565
    -0.137603     0.031773     0.027254    -0.348814
    -0.125730     0.031773     0.069750    -0.339541
    -0.113409     0.031773     0.108758    -0.321805
    -0.100640     0.031773     0.142352    -0.297594
    -0.087422     0.031773     0.169482    -0.268571
    -0.073757     0.031773     0.188446    -0.236391
    -0.059644     0.031773     0.197424    -0.205065
    -0.045082     0.031773     0.198335    -0.180945
    -0.030073     0.031773     0.198621    -0.167615
    -0.014615     0.031773     0.206387    -0.161650
     0.001291     0.031773     0.224594    -0.155426
     0.017644     0.031773     0.251192    -0.142498
     0.034446     0.031773     0.282608    -0.119008
     0.051696     0.031773     0.314971    -0.081807
     0.069394     0.031773     0.342290    -0.027793
     0.087539     0.031773     0.354839     0.043589
     0.106133     0.031773     0.340539     0.126019
     0.125175     0.031773     0.291441     0.202845
     0.144665     0.031773     0.214950     0.252258
     0.164603     0.031773     0.133830     0.265744
     0.184989     0.031773     0.064795     0.254130
     0.205824     0.031773     0.009179     0.228661
     0.227106     0.031773    -0.033613     0.192171
     0.248836     0.031773    -0.059837     0.147702
     0.271014     0.031773    -0.067340     0.102474
     0.293640     0.031773    -0.058429     0.063420
     0.316715     0.031773    -0.036577     0.034957
     0.340237     0.031773    -0.005061     0.021846
     0.364208     0.031773     0.029250     0.030289
     0.388626     0.031773     0.051473     0.062370
     0.413493     0.031773     0.044525     0.105804
     0.438807     0.031773     0.007316     0.134470
     0.464570     0.031773    -0.033862     0.134633
     0.490781     0.031773    -0.062584     0.124025
     0.517439     0.031773    -0.084613     0.112156
     0.544546     0.031773    -0.105364     0.089886
     0.572101     0.031773    -0.124980     0.060750
     0.600104     0.031773    -0.135551     0.025877
     0.628555     0.031773    -0.133517    -0.009446
     0.657454     0.031773    -0.120558    -0.040502
     0.686801     0.031773    -0.098983    -0.064267
     0.716596     0.031773    -0.073740    -0.078659
     0.746839     0.031773    -0.048361    -0.084280
     0.777530     0.031773    -0.025652    -0.082021
     0.808669     0.031773    -0.006879    -0.075345
     0.840256     0.031773     0.007883    -0.066271
     0.872292     0.031773     0.019448    -0.056305
     0.904775     0.031773     0.028345    -0.046178
     0.937706     0.031773     0.035384    -0.035919
     0.971086     0.031773     0.040931    -0.025146
     1.004913     0.031773     0.044539    -0.013399
     1.039189     0.031773     0.046216    -0.000830
     1.073912     0.031773     0.045381     0.012445
     1.109084     0.031773     0.041428     0.025918
     1.144703     0.031773     0.034152     0.038855
     1.180771     0.031773     0.023362     0.049991
     1.217287     0.031773     0.009576     0.058241
     1.254251     0.031773    -0.006338     0.062839
     1.291662     0.031773    -0.023481     0.063267
     1.329522     0.031773    -0.040967     0.058941
     1.367830     0.031773    -0.057255     0.049955
     1.406586     0.031773    -0.070928     0.036626
     1.445790     0.031773    -0.080689     0.019892
     1.485442     0.031773    -0.085733     0.001164
     1.525542     0.031773    -0.085872    -0.017917
     1.566090     0.031773    -0.081483    -0.036227
     1.607086     0.031773    -0.073075    -0.052861
     1.648531     0.031773    -0.061143    -0.067044
    -0.289043     0.000184    -0.134977    -0.292508
    -0.289043     0.000367    -0.135367    -0.291863
    -0.289043     0.000467    -0.135579    -0.291517
    -0.289043     0.000697    -0.136064    -0.290721
    -0.289043     0.001040    -0.136783    -0.289546
    -0.289043     0.001551    -0.137847    -0.287819
    -0.289043     0.002313    -0.139407    -0.285302
    -0.289043     0.003451    -0.141676    -0.281679
    -0.289043     0.005149    -0.144922    -0.276557
    -0.289043     0.007681    -0.149433    -0.269510
    -0.289043     0.011459    -0.155396    -0.260156
    -0.289043     0.017095    -0.162612    -0.248218
    -0.289043     0.025502    -0.169902    -0.233319
    -0.289043     0.038045    -0.174036    -0.214283
    -0.289043     0.056756    -0.168563    -0.188652
    -0.289043     0.084670    -0.145376    -0.154242
    -0.289043     0.126312    -0.102778    -0.112414
    -0.289043     0.188436    -0.053635    -0.069214
    -0.289043     0.281113    -0.017840    -0.033508
    -0.289043     0.419372    -0.002743    -0.012511
    -0.289043     0.625629     0.000752    -0.004521
