# comment:                                                         FEFF 9.6.4
# Source:
# Structure
# Reduced
# space
# abc:
# angles:
# sites:
# POT  SCF 100  7.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.365 Rnm= 1.402 K  shell
# Pot 1 Z=29 Rmt= 1.365 Rnm= 1.402
# Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.865E+00eV kf=1.989E+00 Vint=-1.649E+01eV Rs_int= 1.824
#  -----------------------------------------------------------------------
#   0.95032E+00  0.23938E+01  0.62235E+00 -0.2890429E+00  0.3303183E+03 method to calculate xsect
#   1.7291900E+00 100  11
#       em              xsnorm            xsec  
  0.677117328E+01  0.86459E+00  0.24335E-03 -0.66238E-04  0.24115E-03
  0.737467475E+01  0.86459E+00  0.24381E-03 -0.67977E-04  0.24176E-03
  0.799036817E+01  0.86459E+00  0.24420E-03 -0.69648E-04  0.24230E-03
  0.861825353E+01  0.86459E+00  0.24453E-03 -0.71250E-04  0.24276E-03
  0.925833085E+01  0.86459E+00  0.24480E-03 -0.72781E-04  0.24316E-03
  0.991060012E+01  0.86459E+00  0.24502E-03 -0.74240E-04  0.24351E-03
  0.105750613E+02  0.86459E+00  0.24519E-03 -0.75626E-04  0.24380E-03
  0.112517145E+02  0.86459E+00  0.24532E-03 -0.76939E-04  0.24403E-03
  0.119405596E+02  0.86459E+00  0.24541E-03 -0.78180E-04  0.24423E-03
  0.126415967E+02  0.86459E+00  0.24546E-03 -0.79348E-04  0.24438E-03
  0.133548257E+02  0.86459E+00  0.24549E-03 -0.80444E-04  0.24450E-03
  0.140802466E+02  0.86459E+00  0.24549E-03 -0.81470E-04  0.24459E-03
  0.148178595E+02  0.86459E+00  0.24547E-03 -0.82427E-04  0.24465E-03
  0.155676644E+02  0.86459E+00  0.24543E-03 -0.83317E-04  0.24468E-03
  0.163296612E+02  0.86459E+00  0.24538E-03 -0.84140E-04  0.24470E-03
  0.171038500E+02  0.86459E+00  0.24531E-03 -0.84900E-04  0.24470E-03
  0.178902307E+02  0.86459E+00  0.24524E-03 -0.85599E-04  0.24468E-03
  0.186888033E+02  0.86459E+00  0.24516E-03 -0.86238E-04  0.24466E-03
  0.194995679E+02  0.86459E+00  0.24508E-03 -0.86820E-04  0.24462E-03
  0.203225245E+02  0.86459E+00  0.24500E-03 -0.87348E-04  0.24458E-03
  0.211576730E+02  0.86459E+00  0.24492E-03 -0.87824E-04  0.24454E-03
  0.220050134E+02  0.86459E+00  0.24484E-03 -0.88250E-04  0.24449E-03
  0.228645458E+02  0.86459E+00  0.24477E-03 -0.88629E-04  0.24445E-03
  0.237362702E+02  0.86459E+00  0.24471E-03 -0.88964E-04  0.24441E-03
  0.246201865E+02  0.86459E+00  0.24465E-03 -0.89257E-04  0.24437E-03
  0.255162947E+02  0.86459E+00  0.24460E-03 -0.89510E-04  0.24434E-03
  0.264245949E+02  0.86459E+00  0.24456E-03 -0.89728E-04  0.24432E-03
  0.273450870E+02  0.86459E+00  0.24453E-03 -0.89911E-04  0.24430E-03
  0.282777711E+02  0.86459E+00  0.24452E-03 -0.90063E-04  0.24429E-03
  0.292226472E+02  0.86459E+00  0.24451E-03 -0.90186E-04  0.24429E-03
  0.301797152E+02  0.86459E+00  0.24452E-03 -0.90283E-04  0.24430E-03
  0.311489751E+02  0.86459E+00  0.24454E-03 -0.90355E-04  0.24432E-03
  0.321304270E+02  0.86459E+00  0.24457E-03 -0.90406E-04  0.24435E-03
  0.331240708E+02  0.86459E+00  0.24461E-03 -0.90437E-04  0.24439E-03
  0.341299066E+02  0.86459E+00  0.24466E-03 -0.90451E-04  0.24444E-03
  0.351479343E+02  0.86459E+00  0.24473E-03 -0.90450E-04  0.24450E-03
  0.361781540E+02  0.86459E+00  0.24480E-03 -0.90435E-04  0.24458E-03
  0.372205656E+02  0.86459E+00  0.24489E-03 -0.90409E-04  0.24466E-03
