#HD#     0.1823816445E+01     0.1913549755E+02 
    0.1000000000E+00     0.4046717898E-02    -0.4317407374E-04     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1429679035E+05 
    0.2000000000E+00     0.8101041692E-02    -0.1719657839E-03     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5076150990E+04 
    0.3000000000E+00     0.1214878511E-01    -0.3853264278E-03     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2774555450E+04 
    0.4000000000E+00     0.1618804861E-01    -0.6822287907E-03     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1809512261E+04 
    0.4937739303E+00     0.1996646006E-01    -0.1035651272E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1324378474E+04 
    0.6095974449E+00     0.2461850353E-01    -0.1571146338E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.9699883299E+03 
    0.7376129083E+00     0.2973803859E-01    -0.2288570325E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.7325066463E+03 
    0.8778203206E+00     0.3531416539E-01    -0.3223316449E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5673635721E+03 
    0.1030219682E+01     0.4133304876E-01    -0.4413137426E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.4489304331E+03 
    0.1194810992E+01     0.4777747101E-01    -0.5897910544E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.3617537162E+03 
    0.1371594251E+01     0.5462637072E-01    -0.7719396580E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2961358954E+03 
    0.1560569459E+01     0.6185437144E-01    -0.9920994387E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2457807841E+03 
    0.1761736616E+01     0.6943130323E-01    -0.1254749264E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2064786340E+03 
    0.1975095721E+01     0.7732171964E-01    -0.1564481982E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1753416487E+03 
    0.2200646776E+01     0.8548441209E-01    -0.1925979315E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1503436637E+03 
    0.2438389779E+01     0.9387192306E-01    -0.2343986658E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1300343248E+03 
    0.2688324732E+01     0.1024300586E+00    -0.2823287781E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1133567257E+03 
    0.2950451633E+01     0.1110974003E+00    -0.3368679336E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.9952820118E+02 
    0.3224770483E+01     0.1198048167E+00    -0.3984945087E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.8796069285E+02 
    0.3511281282E+01     0.1284749711E+00    -0.4676829672E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.7820649726E+02 
    0.3809984030E+01     0.1370218273E+00    -0.5449011719E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.6992064299E+02 
    0.4120878727E+01     0.1453501473E+00    -0.6306076050E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.6283437371E+02 
    0.4443965373E+01     0.1533549808E+00    -0.7252484694E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5673617976E+02 
