adsorbate,site_id,site_type,composition,d_interface_A,C_x_A,C_y_A,C_z_A,O_x_A,O_y_A,O_z_A,H_x_A,H_y_A,H_z_A,C-O_A,O-H_A,C-O-H_deg
1,S20,Cu3_fcc,CuCuCu,2.6123,0.000000,1.443419,9.865272,-0.220779,1.154242,11.144543,0.194062,1.832192,11.717858,1.3300,0.9800,110.00
2,S30,Cu3_fcc,CuCuCu,6.5055,11.518593,3.859545,9.872640,11.345001,3.518924,11.146509,11.671178,4.233854,11.732072,1.3300,0.9800,110.00
