adsorbate,site_id,site_type,composition,d_interface_A,C_x_A,C_y_A,C_z_A,O_x_A,O_y_A,O_z_A,H_x_A,H_y_A,H_z_A,C-O_A,O-H_A,C-O-H_deg
1,S5,AuAuCu_fcc,AuAuCu,0.0000,1.378419,18.347412,10.366969,1.257000,18.288948,11.690124,1.490130,19.154284,12.086666,1.3300,0.9800,110.00
2,S32,Cu3_fcc,CuCuCu,4.2021,12.811580,5.973429,9.823500,12.958236,5.615714,11.096069,12.680940,6.348777,11.684393,1.3300,0.9800,110.00
