adsorbate,site_id,site_type,composition,d_interface_A,C_x_A,C_y_A,C_z_A,O_x_A,O_y_A,O_z_A,H_x_A,H_y_A,H_z_A,C-O_A,O-H_A,C-O-H_deg
1,S1,Cu3_fcc,CuCuCu,2.4632,15.374196,5.852130,9.860374,14.980851,5.961178,11.126190,15.706014,5.690079,11.727060,1.3300,0.9800,110.00
2,S6,Cu3_fcc,CuCuCu,2.4632,7.662990,5.852130,9.860374,7.916151,6.152276,11.131091,7.454391,5.522105,11.722751,1.3300,0.9800,110.00
3,S18,Cu3_fcc,CuCuCu,2.5562,20.471549,5.693426,9.920021,20.353869,5.966809,11.216290,20.573123,5.173000,11.747510,1.3300,0.9800,110.00
4,S19,Cu3_fcc,CuCuCu,2.5562,2.565637,5.693426,9.920021,2.545141,5.165901,11.140757,2.585517,5.876988,11.813902,1.3300,0.9800,110.00
