adsorbate,site_id,site_type,composition,d_interface_A,C_x_A,C_y_A,C_z_A,O_x_A,O_y_A,O_z_A,H_x_A,H_y_A,H_z_A,C-O_A,O-H_A,C-O-H_deg
1,S26,AuAuCu_fcc,AuAuCu,0.0000,6.927024,18.316343,10.370855,7.360558,18.631831,11.587989,6.634725,18.531585,12.238771,1.3300,0.9800,110.00
2,S19,Cu3_fcc,CuCuCu,2.5562,2.565637,5.693426,9.920021,2.973436,5.517714,11.173705,2.209050,5.567749,11.784941,1.3300,0.9800,110.00
3,S31,Cu3_fcc,CuCuCu,4.2021,10.225606,5.973429,9.823500,10.514289,6.292480,11.081978,9.973586,5.753908,11.696779,1.3300,0.9800,110.00
4,S38,Cu3_fcc,CuCuCu,2.5386,17.846308,1.556002,9.931313,18.281229,1.520685,11.187695,17.558222,1.771543,11.799849,1.3300,0.9800,110.00
