i,motif,site,Cx,Cy,Cz,Ox,Oy,Oz,Hx,Hy,Hz,C-O,C-H
1,top,Cu1,10.21088526965727,7.3894353202075305,10.444304001322033,9.97617492762189,7.60450772347884,11.632392767657587,10.994256012496045,6.671608287731175,10.15960305170926,1.23,1.1
2,top,Cu23,21.70017256680394,0.6595766028114696,10.549483157367957,21.983822199861716,0.5150498960287765,11.737571923703511,20.75346173238778,1.1419498662586096,10.264782207755184,1.23,1.0999999999999992
3,top,Cu32,2.5856219722319103,7.260643915534442,10.712643671118249,2.649090240876113,6.948687408657973,11.900732437453803,2.373789871765687,8.301831953547582,10.427942721505476,1.2299999999999998,1.0999999999999996
4,top,Cu27,17.911974089823325,7.251087268677637,10.662970828938011,18.169522567149002,7.063967346877508,11.851059595273565,17.052378640172453,7.875619919728886,10.378269879325238,1.2299999999999998,1.1000000000000005
