i,motif,site,Cx,Cy,Cz,Ox,Oy,Oz,Hx,Hy,Hz,C-O,C-H
1,top,Cu6,11.51859268883399,5.2519519620009545,10.487250041553574,11.324795055179912,4.999389968626375,11.675338807889128,12.16541291379497,6.094904490836958,10.202549091940801,1.2299999999999998,1.1000000000000005
2,top,Cu33,0.0,7.267812477346056,10.723946492591338,-0.30443715703138297,7.360888256826598,11.912035258926892,1.016091407746537,6.957162158831418,10.439245542978565,1.2299999999999998,1.1000000000000003
3,top,Cu26,3.98239056297031,0.702739017268705,10.593062461327898,3.6715892426010823,0.7716420111369411,11.781151227663452,5.019723043088354,0.47276794304037134,10.308361511715125,1.2299999999999998,1.1000000000000005
4,top,Cu25,19.0547948146967,0.702739017268705,10.593062461327898,19.142543257286082,0.39672383115795107,11.781151227663452,18.761925049955664,1.7240972649908821,10.308361511715125,1.23,1.1
