i,motif,site,Cx,Cy,Cz,O1x,O1y,O1z,O2x,O2y,O2z,Hx,Hy,Hz,C=O,C-OH,O-H
1,top,Au37,11.51859268883399,17.334064108801748,11.07337706521771,12.107469293237928,17.667234461285144,12.100568313725882,10.352786706116797,16.674482819131917,11.035312212948442,10.066273960173653,16.51238170687346,11.958368915332802,1.23,1.3399999999999999,0.9799999999999989
2,top,Au46,1.400438373079957,9.60251864424099,11.347771099007876,1.91873871004651,9.167613022653294,12.374962347516048,0.3743530622336273,10.46350645012857,11.309706246738608,0.12217858008068783,10.675105965095423,12.232762949122968,1.2300000000000002,1.34,0.9799999999999992
3,top,Au43,20.245562825184876,17.270960979379556,11.282053642809272,20.711298738733078,17.761744228706224,12.309244891317444,19.32353992544625,16.299351572581074,11.243988790540005,19.09694020238525,16.06056528802522,12.167045492924366,1.2299999999999993,1.3400000000000007,0.9800000000000011
4,top,Au50,15.934565913037888,9.78692224553887,11.368319139518974,16.30306489231915,9.219483578142217,12.395510388027146,15.205044122804575,10.910287290658443,11.330254287249707,15.025754177098566,11.186369596415345,12.253310989634066,1.2299999999999993,1.3400000000000005,0.9799999999999992
