adsorbate,site_id,site_type,composition,d_interface_A,C_x_A,C_y_A,C_z_A,O_x_A,O_y_A,O_z_A,H_x_A,H_y_A,H_z_A,C-O_A,O-H_A,C-O-H_deg
1,S11,Cu3_fcc,CuCuCu,2.5094,5.117291,5.730255,9.903027,5.476061,5.844439,11.178623,4.812957,5.408476,11.753626,1.3300,0.9800,110.00
2,S13,Cu3_fcc,CuCuCu,2.5094,17.919894,5.730255,9.903027,17.574553,5.407089,11.146089,18.212425,5.792903,11.782224,1.3300,0.9800,110.00
3,S20,Cu3_fcc,CuCuCu,2.6123,0.000000,1.443419,9.865272,-0.364632,1.689979,11.120323,0.320507,1.361284,11.739147,1.3300,0.9800,110.00
4,S30,Cu3_fcc,CuCuCu,6.5055,11.518593,3.859545,9.872640,11.132310,4.031653,11.133617,11.858131,3.783171,11.743404,1.3300,0.9800,110.00
