i,motif,site,Cx,Cy,Cz,Ox,Oy,Oz,Hx,Hy,Hz,C-O,C-H
1,bi,Au-Cu:53-1,10.04358028305829,9.900444784015814,11.375754816707104,10.122536511676051,8.71542429349676,11.055766768473362,10.024750608847365,10.18305136440061,12.438665426350418,1.2300000000000002,1.0999999999999996
2,top,Cu20,12.78951564096816,3.11809601997273,10.540903628369135,12.822792008138391,2.8014925350026285,11.728992394704688,12.678452224490373,4.174793841873517,10.256202678756361,1.2299999999999998,1.1
3,top,Cu24,1.3370128108640442,0.6595766028114696,10.549483157367957,1.1345189470371981,0.9052213023670188,11.737571923703511,2.0128576294209513,-0.1602887218116461,10.264782207755184,1.2299999999999998,1.1
4,top,Cu31,20.45156340543509,7.260643915534442,10.712643671118249,20.69543168170229,7.465273696206088,11.900732437453803,19.637627082571854,6.577670247218112,10.427942721505476,1.2299999999999998,1.1000000000000014
