pair,metal1_top_index,metal2_top_index,metal_pair_A,C1_metal1_A,C2_metal2_A,C1-C2_A,C1-O1_A,C2-O2_A,C1_fx,C1_fy,C2_fx,C2_fy
1,21,27,2.51964109379996,1.935607,1.820097,1.450000,1.250000,1.250000,0.691388,0.387106,0.754314,0.385419
2,22,28,2.519641093799942,1.935607,1.820097,1.450000,1.250000,1.250000,0.308612,0.387106,0.245686,0.385419
