adsorbate,site_id,site_type,composition,d_interface_A,C_x_A,C_y_A,C_z_A,O_x_A,O_y_A,O_z_A,H_x_A,H_y_A,H_z_A,C-O_A,O-H_A,C-O-H_deg
1,S4,Cu3_fcc,CuCuCu,4.4284,16.638918,3.695026,9.854360,16.386466,3.386205,11.123138,16.894763,3.975255,11.719003,1.3300,0.9800,110.00
2,S29,Cu3_fcc,CuCuCu,4.4281,21.755067,3.568814,9.823269,21.455693,3.265032,11.083027,22.032290,3.768149,11.695244,1.3300,0.9800,110.00
3,S30,Cu3_fcc,CuCuCu,6.5055,11.518593,3.859545,9.872640,11.898236,4.048724,11.133188,11.184890,3.768166,11.743781,1.3300,0.9800,110.00
4,S35,Cu3_fcc,CuCuCu,4.4360,3.842438,3.607157,9.837035,3.864439,3.181085,11.096749,3.790024,3.942341,11.709408,1.3300,0.9800,110.00
