adsorbate,site_id,site_type,composition,d_interface_A,C_x_A,C_y_A,C_z_A,O_x_A,O_y_A,O_z_A,H_x_A,H_y_A,H_z_A,C-O_A,O-H_A,C-O-H_deg
1,S30,Cu3_fcc,CuCuCu,6.5055,11.518593,3.859545,9.872640,11.394952,4.283169,11.127293,11.627272,3.562091,11.748963,1.3300,0.9800,110.00
2,S35,Cu3_fcc,CuCuCu,4.4360,3.842438,3.607157,9.837035,4.239366,3.590515,11.106315,3.460467,3.582457,11.701000,1.3300,0.9800,110.00
