    Energy    <xanes>    
   9016.40  2.2329224E-02
   9016.60  2.2404065E-02
   9016.80  2.2477787E-02
   9017.00  2.2550201E-02
   9017.20  2.2621115E-02
   9017.40  2.2690324E-02
   9017.60  2.2757622E-02
   9017.80  2.2822795E-02
   9018.00  2.2885630E-02
   9018.20  2.2945910E-02
   9018.40  2.3003424E-02
   9018.60  2.3057962E-02
   9018.80  2.3109320E-02
   9019.00  2.3157304E-02
   9019.20  2.3201731E-02
   9019.40  2.3242428E-02
   9019.60  2.3279242E-02
   9019.80  2.3312032E-02
   9020.00  2.3340678E-02
   9020.20  2.3365083E-02
   9020.40  2.3385168E-02
   9020.60  2.3400878E-02
   9020.80  2.3412183E-02
   9021.00  2.3419076E-02
   9021.20  2.3421576E-02
   9021.40  2.3419724E-02
   9021.60  2.3413587E-02
   9021.80  2.3403256E-02
   9022.00  2.3388843E-02
   9022.20  2.3370481E-02
   9022.40  2.3348324E-02
   9022.60  2.3322543E-02
   9022.80  2.3293328E-02
   9023.00  2.3260880E-02
   9023.20  2.3225414E-02
   9023.40  2.3187155E-02
   9023.60  2.3146337E-02
   9023.80  2.3103199E-02
   9024.00  2.3057982E-02
   9024.20  2.3010930E-02
   9024.40  2.2962286E-02
   9024.60  2.2912291E-02
   9024.80  2.2861180E-02
   9025.00  2.2809183E-02
   9025.20  2.2756521E-02
   9025.40  2.2703407E-02
   9025.60  2.2650042E-02
   9025.80  2.2596618E-02
   9026.00  2.2543313E-02
   9026.20  2.2490291E-02
   9026.40  2.2437706E-02
   9026.60  2.2385696E-02
   9026.80  2.2334385E-02
   9027.00  2.2283886E-02
   9027.20  2.2234295E-02
   9027.40  2.2185698E-02
   9027.60  2.2138167E-02
   9027.80  2.2091762E-02
   9028.00  2.2046533E-02
   9028.20  2.2002517E-02
   9028.40  2.1959743E-02
   9028.60  2.1918231E-02
   9028.80  2.1877992E-02
   9029.00  2.1839029E-02
