  8979.000   29  1  1  3.7748083E-03 -1.2165876E+01 -1.3954835E+00  1  1  8.8237776E+03  1.1843831E+01  0.0000000E+00  2.2591524E-01  1.0000000E+00  0.0000000E+00  = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninit, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_iso
    Energy    <xanes>    
   9013.80  2.2377396E-02
   9014.00  2.2493423E-02
   9014.20  2.2591365E-02
   9014.40  2.2674914E-02
   9014.60  2.2748449E-02
   9014.80  2.2817561E-02
   9015.00  2.2887531E-02
   9015.20  2.2964019E-02
   9015.40  2.3052430E-02
   9015.60  2.3157628E-02
   9015.80  2.3284050E-02
   9016.00  2.3434721E-02
   9016.20  2.3612298E-02
   9016.40  2.3818595E-02
   9016.60  2.4054422E-02
   9016.80  2.4320486E-02
   9017.00  2.4615732E-02
   9017.20  2.4938822E-02
   9017.40  2.5288062E-02
   9017.60  2.5661354E-02
   9017.80  2.6055366E-02
   9018.00  2.6467146E-02
   9018.20  2.6893584E-02
   9018.40  2.7333499E-02
   9018.60  2.7778467E-02
   9018.80  2.8225937E-02
   9019.00  2.8671541E-02
   9019.20  2.9109655E-02
   9019.40  2.9534355E-02
   9019.60  2.9938750E-02
   9019.80  3.0316460E-02
   9020.00  3.0660830E-02
   9020.20  3.0965336E-02
   9020.40  3.1223951E-02
   9020.60  3.1431703E-02
   9020.80  3.1584691E-02
   9021.00  3.1679834E-02
   9021.20  3.1715518E-02
   9021.40  3.1691799E-02
   9021.60  3.1609640E-02
   9021.80  3.1470915E-02
   9022.00  3.1278303E-02
   9022.20  3.1035626E-02
   9022.40  3.0747094E-02
   9022.60  3.0417193E-02
   9022.80  3.0050725E-02
   9023.00  2.9652881E-02
   9023.20  2.9229246E-02
   9023.40  2.8785538E-02
   9023.60  2.8327258E-02
   9023.80  2.7859377E-02
   9024.00  2.7386840E-02
   9024.20  2.6914576E-02
   9024.40  2.6447392E-02
   9024.60  2.5989933E-02
   9024.80  2.5545930E-02
   9025.00  2.5118808E-02
   9025.20  2.4712429E-02
   9025.40  2.4329233E-02
   9025.60  2.3971565E-02
   9025.80  2.3641605E-02
   9026.00  2.3340909E-02
   9026.20  2.3070665E-02
   9026.40  2.2831395E-02
   9026.60  2.2623174E-02
   9026.80  2.2445560E-02
   9027.00  2.2297410E-02
   9027.20  2.2177301E-02
   9027.40  2.2083200E-02
   9027.60  2.2012824E-02
   9027.80  2.1963124E-02
   9028.00  2.1931019E-02
   9028.20  2.1912750E-02
   9028.40  2.1904381E-02
   9028.60  2.1902215E-02
   9028.80  2.1902304E-02
   9029.00  2.1900949E-02
