i,type,metal_or_pair,top_index,C_x,C_y,C_z,O_x,O_y,O_z,C-O_A,fx,fy
1,OCCO_C1,Cu1-Au53,,10.166040261320195,8.062494997794238,10.444304001322033,10.213848612857225,7.344959761105183,11.466731282664277,1.2499999999999996,0.44128829519145535,0.42785646688196316
2,OCCO_C2,Cu1-Au53,,10.092162375423456,9.17129679996355,11.375754816707104,10.066636195887435,9.554408383741114,12.565323616118782,1.2499999999999998,0.43808139796483675,0.486697808387081
3,spectator_CO,Cu,27,17.911974089823325,7.251087268677637,10.662970828938011,17.911974089823325,7.251087268677637,11.812970828938012,1.1500000000000004,0.7775244152520375,0.3847970858497238
4,spectator_CO,Cu,14,3.830698983175083,5.082409834759745,10.506197877257456,3.830698983175083,5.082409834759745,11.656197877257457,1.1500000000000004,0.1662832902707241,0.2697107924707382
5,spectator_CO,Cu,20,12.78951564096816,3.11809601997273,10.540903628369135,12.78951564096816,3.11809601997273,11.690903628369135,1.1500000000000004,0.5551683259608066,0.1654695657943639
6,spectator_CO,Cu,18,7.70161275114445,3.027236367646072,10.521089960751924,7.70161275114445,3.027236367646072,11.671089960751925,1.1500000000000004,0.3343122271616846,0.1606478710414068
7,spectator_CO,Cu,10,17.885639807226603,2.9225024784792915,10.492351209914954,17.885639807226603,2.9225024784792915,11.642351209914954,1.1500000000000004,0.7763812945901597,0.1550899052015563
8,spectator_CO,Au,57,18.775472382762842,14.728237873021229,11.409494755037214,18.775472382762842,14.728237873021229,12.559494755037214,1.1500000000000004,0.8150072187622537,0.7815907881458514
