i,motif,site,Cx,Cy,Cz,Ox,Oy,Oz,Hx,Hy,Hz,C-O,C-H
1,bi,Cu-Cu:1-2,10.21088526965727,7.3894353202075305,10.444304001322033,11.398533217909428,7.3894353202075305,10.12431595308829,9.927652086736064,7.3894353202075305,11.507214610965347,1.23,1.0999999999999996
2,top,Cu23,21.70017256680394,0.6595766028114696,10.549483157367957,21.983822199861716,0.5150498960287765,11.737571923703511,20.75346173238778,1.1419498662586096,10.264782207755184,1.23,1.0999999999999992
3,top,Cu34,9.048347695562821,0.9774319805352375,10.735808746809314,9.29042097702826,0.7706818663688455,11.923897513144867,8.24040235886174,1.6674824875219083,10.45110779719654,1.23,1.1
4,top,Cu21,15.392938479984117,7.306321659481474,10.5424645822718,15.11724152229244,7.1471479467434245,11.730553348607353,16.313106414095706,7.837580863940462,10.257763632659026,1.2299999999999998,1.1000000000000008
