i,motif,site,C-Cu1_A,Ocarbonyl-Cu1_A,Ocarbonyl-Cu2_A,C-Ocarbonyl_A,C-Ohydroxyl_A,O-H_A,abs_dz_C-O_A,Cx,Cy,Cz,Ocarbonyl_x,Ocarbonyl_y,Ocarbonyl_z,Ohydroxyl_x,Ohydroxyl_y,Ohydroxyl_z,Hx,Hy,Hz
1,Au_top,Au38,,,,1.230000,1.340000,0.980000,1.027191,8.500948,17.333795,11.149012,8.966684,17.824579,12.176203,7.578925,16.362186,11.110947,7.352325,16.123400,12.034004
2,Cu_asym_bridge,Cu-Cu:1-2,1.950000,2.000000,2.280000,1.260000,1.330000,0.990000,0.259657,10.056534,7.389435,10.538186,11.289489,7.389435,10.278529,9.534567,7.389435,11.761480,8.548498,7.389435,11.673347
