adsorbate,site_id,site_type,composition,d_interface_A,C_x_A,C_y_A,C_z_A,O_x_A,O_y_A,O_z_A,H_x_A,H_y_A,H_z_A,C-O_A,O-H_A,C-O-H_deg
1,S6,Cu3_fcc,CuCuCu,2.4632,7.662990,5.852130,9.860374,7.708348,5.415041,11.115681,7.637047,6.170126,11.736296,1.3300,0.9800,110.00
2,S13,Cu3_fcc,CuCuCu,2.5094,17.919894,5.730255,9.903027,17.574553,5.407089,11.146089,18.212425,5.792903,11.782224,1.3300,0.9800,110.00
3,S15,Cu3_fcc,CuCuCu,4.1826,12.783497,1.831369,10.024975,13.128236,2.205121,11.253944,12.524801,1.797651,11.909867,1.3300,0.9800,110.00
4,S21,Cu3_fcc,CuCuCu,2.6021,0.000000,5.688261,9.923598,0.280459,5.264811,11.152798,-0.246520,5.767198,11.808770,1.3300,0.9800,110.00
5,S27,Cu3_fcc,CuCuCu,2.5386,5.190878,1.556002,9.931313,4.878905,1.326372,11.203651,5.370893,1.942343,11.785825,1.3300,0.9800,110.00
6,S33,Cu3_fcc,CuCuCu,2.5693,20.423076,1.467477,9.883598,20.112248,1.770630,11.140731,20.747695,1.346740,11.754673,1.3300,0.9800,110.00
