pair,metal1_top_index,metal2_top_index,metal_pair_A,C1_metal1_A,C2_metal2_A,C1-C2_A,C1-O1_A,C2-O2_A,C1_fx,C1_fy,C2_fx,C2_fy
1,13,27,2.5256531668705184,1.953866,1.803666,1.450000,1.250000,1.250000,0.821751,0.294218,0.789490,0.360290
2,14,28,2.5256531668705238,1.953866,1.803666,1.450000,1.250000,1.250000,0.178249,0.294218,0.210510,0.360290
3,19,20,2.5418459042693247,1.880966,1.880966,1.450000,1.250000,1.250000,0.468529,0.165470,0.531471,0.165470
