i,motif,site,Cx,Cy,Cz,Ox,Oy,Oz,Hx,Hy,Hz,C-O,C-H
1,top,Cu1,10.21088526965727,7.3894353202075305,10.444304001322033,9.97617492762189,7.60450772347884,11.632392767657587,10.994256012496045,6.671608287731175,10.15960305170926,1.23,1.1
2,top,Cu23,21.70017256680394,0.6595766028114696,10.549483157367957,21.983822199861716,0.5150498960287765,11.737571923703511,20.75346173238778,1.1419498662586096,10.264782207755184,1.23,1.0999999999999992
